top - 16:12:02 up  1:46,  4 users,  load average: 0.31, 0.37, 0.29
Tasks: 358 total,   1 running, 357 sleeping,   0 stopped,   0 zombie
%Cpu(s):  4.2 us,  8.3 sy,  0.0 ni, 87.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3354.5 total,    216.2 free,   2251.5 used,   1188.5 buff/cache     
MiB Swap:   3530.0 total,   3294.3 free,    235.7 used.   1103.0 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   5236 dev-moo+  20   0 2533852 151956  95924 S   0.0   4.4   0:12.42 Privile+
   5267 dev-moo+  20   0 1762808  10624   3856 S   0.0   0.3   0:00.19 snap
   5870 dev-moo+  20   0  353224  49904  48112 S   0.0   1.5   0:00.11 Utility+
   6237 dev-moo+  20   0 2685736 205492  98208 S   0.0   6.0   0:18.72 Isolate+
   6552 root      20   0       0      0      0 I   0.0   0.0   0:04.78 kworker+
   7826 root      20   0 1997100  41576  24492 S   0.0   1.2   0:05.27 snapd
   9305 root      20   0   13344   5716   4948 S   0.0   0.2   0:00.01 su
   9307 dev-moo+  20   0   12296   6488   4184 S   0.0   0.2   0:00.04 bash
   9991 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
   9996 root      20   0   13380   5604   4960 S   0.0   0.2   0:00.04 su
  10000 dev-luke  20   0   12296   6448   4144 S   0.0   0.2   0:00.06 bash
  10094 root      20   0   13344   5728   4960 S   0.0   0.2   0:00.01 su
